CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,C4_4_N3_2_1,C4_4_O2_2_1,N3_2_N3_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_N3_3_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_N3_3_1,link_edge_C4_3_O2_2_1,link_edge_C4_3_S2_2_1,link_edge_C4_3_S6_4_1,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_N3_C4_3,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_4_O2_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_N3_0_/_/_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_N3_0_H1_1_/_1_/_0_0,FC_10_C4_0_Cl1_1_/_1_/_0_0,FC_11_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_12_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_14_S2_0_/_/_0,FC_15_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_16_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_17_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_18_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_21_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_22_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_24_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_25_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_26_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_27_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_28_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_29_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_30_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_31_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_32_C4_0_H1_1_H1_1_C4_1_H1_2_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_33_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_34_O2_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_35_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_36_C4_0_C4_1_Cl1_2_Cl1_2_/_2_1_1_/_0_0_0_0,FC_37_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_38_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_/_1_1_1_1_1_3_/_0_0_0_0_0_0_0,FC_39_C4_0_C4_1_N3_2_/_1_3_/_0_0_0,FC_40_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_41_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_42_C4_0_O2_1_C4_1_H1_2_H1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_43_C4_0_C4_1_H1_2_H1_2_Cl1_2_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_N3_3,CS_connecting_vertices_O2_2,CS_connecting_vertices_S2_2
Poly(3_5-dimethylStyrene),0.111111,0.1,0.107143,0,0.185185,0,0.0810811,0.190476,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0,0,0.333333,0,0,0,0,0,0.357143,0.25,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.117647,0.05,0.0555556,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(quinoxaline-2_7-diylquinoxaline-7_2-diyl-1_4-phenylene),0.407407,0.5,0.428571,0.05,0.565302,0,0.405405,0.47619,0,0,0.405405,0.5,0,0.464286,0,0.384615,0.666667,0,0,0,0,0,0,0,0.0625,0.25,0.714286,0.333333,0,0,1,0,0,0.272727,0.5,0,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941,0.5,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(4-methyl-1-pentene),0.037037,0,0.0178571,0,0,0,0.027027,0.047619,0,0.5,0,0.05,0,0,0,0.0192308,0,0,0,0,0.5,0,0,0,0,0,0.214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.0294118,0,0.0555556,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(vinylButyral),0.111111,0.1,0.107143,0,0.173611,0,0.108108,0.142857,0,0.5,0.0810811,0.15,0,0,0,0.0769231,0,0.5,0,0,0.333333,0,0,0,0,0,0.357143,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.0882353,0,0.111111,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(3_3-dimethylbutylMethacrylate),0.148148,0,0.0714286,0,0.138889,0,0.0810811,0.047619,0.5,0.5,0.0810811,0.05,0,0,0,0.0576923,0,0.25,0,0,0.833333,0,0,0.166667,0.0625,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0.166667,0,0,0,0.111111,0.25,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
Poly(11-aminoundecanoicAcid),0.166667,0,0.178571,0.5,0.0994009,0,0.27027,0.047619,0,0,0.297297,0,0,0,0,0.173077,0.166667,0,0,0,0,0,0,0.166667,0.5625,0,0.0714286,0,0,0.5,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0.5625,0,0.25,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0.555556,0,0.166667,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0
Poly(ethyleneIsophthalate),0.185185,0.1,0.178571,0.25,0.563973,0,0.189189,0.190476,0,0,0.243243,0.1,0,0.107143,0,0.153846,0,0.5,0,0,0,0,0,0.333333,0.125,0.0833333,0.142857,0.166667,0,0,0,0,0.666667,0.181818,0,0,0,0,0,0.333333,0,0,0,0,0,0.0625,0,0,0,0,0,0,1,0.5,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.333333,0,0.117647,0.1,0.111111,0.5,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly(oxycarbonyloxy-2-chloro-1_4-phenyleneisopropylidene-1_4-phenylene),0.296296,0.2,0.25,0.2,0.565657,0,0.216216,0.285714,0.5,0,0.297297,0.2,0,0.214286,0,0.230769,0,0.5,0,0,0.333333,0.25,0,0.166667,0.125,0.0833333,0.214286,0.416667,0,0,0,0,0,0.0909091,0,0.333333,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0.333333,0,0,0.25,0,0,0.166667,0,0.205882,0.2,0,0.5,0.166667,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly(n-nonylAcrylate),0.185185,0,0.160714,0,0.115741,0,0.216216,0.0952381,0,0.5,0.216216,0.05,0,0,0,0.153846,0,0.25,0,0,0.333333,0,0,0.166667,0.375,0,0.142857,0,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.166667,0,0.0294118,0,0.388889,0.25,0.166667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(3-cyclopentyl-1-propene),0.0740741,0.1,0.107143,0,0.0462963,0,0.135135,0.0952381,0,0,0.135135,0.1,0,0,0,0.115385,0,0,0,0,0,0,0,0,0.1875,0,0.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(decamethyleneAdipate),0.296296,0,0.285714,0.8,0.173611,0,0.405405,0.0952381,0,0,0.459459,0,0,0,0,0.269231,0,0.5,0,0,0,0,0,0.333333,0.75,0,0.142857,0,0,0,0,0,0.666667,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.75,0,0.5,0,0,0,0,1,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.333333,0,0,0,0.777778,0.5,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0
Poly(3-cyclohexyl-1-propene),0.0925926,0.1,0.125,0,0.0407407,0,0.162162,0.0952381,0,0,0.162162,0.1,0,0,0,0.134615,0,0,0,0,0,0,0,0,0.25,0,0.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0.388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(vinylEthylEther),0.0185185,0,0.0178571,0,0.121083,0,0.027027,0.047619,0,0.5,0,0.05,0,0,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.0294118,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(n-hexylMethacrylate),0.148148,0,0.107143,0,0.138889,0,0.135135,0.047619,0.5,0.5,0.135135,0.05,0,0,0,0.0961538,0,0.25,0,0,0.5,0,0,0.166667,0.1875,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,0.222222,0.25,0.166667,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
Poly(2_4-dichloroStyrene),0.111111,0.1,0.107143,0,0.851852,0,0.0810811,0.190476,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0,0,0,0.5,0,0,0,0.0833333,0.357143,0.0833333,0,0,0,0,0,0.0909091,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.117647,0.05,0.0555556,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(p-sec-butylStyrene),0.148148,0.1,0.125,0,0.145503,0,0.108108,0.190476,0,0.5,0.108108,0.15,0,0.107143,0,0.134615,0,0,0,0,0.5,0,0,0,0.0625,0.0833333,0.285714,0.166667,0,0,0,0,0,0.181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.147059,0.1,0.0555556,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(ethylMethacrylate),0.0740741,0,0.0357143,0,0.231481,0,0.027027,0.047619,0.5,0.5,0.027027,0.05,0,0,0,0.0192308,0,0.25,0,0,0.5,0,0,0.166667,0,0,0,0,1,0,0,0,0,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,0.0555556,0,0.166667,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
Poly(2_4-dimethylStyrene),0.111111,0.1,0.107143,0,0.185185,0,0.0810811,0.190476,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0,0,0.333333,0,0,0,0,0.0833333,0.357143,0.0833333,0,0,0,0,0,0.0909091,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.117647,0.05,0.0555556,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(isobutylAcrylate),0.0925926,0,0.0535714,0,0.198413,0,0.0540541,0.0952381,0,0.5,0.0540541,0.05,0,0,0,0.0384615,0,0.25,0,0,0.5,0,0,0.166667,0,0,0.142857,0,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0.0294118,0,0.0555556,0.25,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(p-isopentoxyStyrene),0.185185,0.1,0.160714,0,0.176505,0,0.189189,0.142857,0,0.5,0.162162,0.15,0,0.107143,0,0.153846,0,0.25,0,0,0.5,0,0,0,0.125,0.0833333,0.285714,0.166667,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.147059,0.1,0.111111,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(n-propylMethacrylate),0.0925926,0,0.0535714,0,0.198413,0,0.0540541,0.047619,0.5,0.5,0.0540541,0.05,0,0,0,0.0384615,0,0.25,0,0,0.5,0,0,0.166667,0,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,0.0555556,0.25,0.166667,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
